DATE	%usr	%sys	%wio	%idle	%peak	%aver
1	1.00	1.00	0.00	98.00	100.00	2.00
2	2.00	2.00	0.00	97.00	100.00	4.00
3	2.00	2.00	0.00	96.00	100.00	4.00
4	2.00	2.00	0.00	96.00	13.00	4.00
5	1.00	2.00	0.00	97.00	19.00	3.00
6	2.00	2.00	0.00	97.00	12.00	4.00
7	1.00	1.00	0.00	99.00	17.00	2.00
8	0.00	1.00	0.00	99.00	18.00	1.00
9	2.00	2.00	0.00	96.00	11.00	4.00
10	1.00	1.00	0.00	98.00	19.00	2.00
11	2.00	2.00	0.00	96.00	12.00	4.00
12	1.00	1.00	0.00	98.00	18.00	2.00
13	2.00	2.00	0.00	96.00	13.00	4.00
14	1.00	1.00	0.00	98.00	19.00	2.00
15	1.00	1.00	0.00	99.00	22.00	2.00
16	2.00	2.00	0.00	96.00	13.00	4.00
17	1.00	1.00	0.00	98.00	20.00	2.00
18	2.00	2.00	0.00	96.00	13.00	4.00
19	1.00	1.00	0.00	98.00	20.00	2.00
20	2.00	2.00	0.00	97.00	12.00	4.00
21	1.00	1.00	0.00	98.00	18.00	2.00
22	1.00	1.00	0.00	99.00	17.00	2.00
23	2.00	2.00	0.00	96.00	23.00	4.00
24	3.00	1.00	0.00	96.00	18.00	4.00
25	2.00	2.00	0.00	96.00	12.00	4.00
26	4.00	1.00	0.00	95.00	18.00	5.00
27	9.00	2.00	0.00	89.00	19.00	11.00
28	1.00	1.00	0.00	99.00	19.00	2.00
29	0.00	1.00	0.00	99.00	18.00	1.00
30	2.00	2.00	0.00	96.00	14.00	4.00
31	1.00	1.00	0.00	98.00	22.00	2.00
