Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1990	353.66	354.7	355.39	356.2	357.16	356.22	354.82	352.91	350.96	351.18	352.83	354.21	354.19
1991	354.72	355.75	357.16	358.6	359.34	358.24	356.17	354.03	352.16	352.21	353.75	354.99	355.59
1992	355.98	356.72	357.81	359.15	359.66	359.25	357.03	355	353.01	353.31	354.16	355.4	356.37
1993	356.7	357.16	358.38	359.46	360.28	359.6	357.57	355.52	353.7	353.98	355.33	356.8	357.04
1994	358.36	358.91	359.97	361.26	361.68	360.95	359.55	357.49	355.84	355.99	357.58	359.04	358.88
1995	359.96	361	361.64	363.45	363.79	363.26	361.9	359.46	358.06	357.75	359.56	360.7	360.88
1996	362.05	363.25	364.03	364.72	365.41	364.97	363.65	361.49	359.46	359.6	360.76	362.33	362.64
1997	363.18	364	364.57	366.35	366.79	365.62	364.47	362.51	360.19	360.77	362.43	364.28	363.76
1998	365.32	366.15	367.31	368.61	369.3	368.87	367.64	365.77	363.9	364.23	365.46	366.97	366.63
1999	368.15	368.86	369.58	371.12	370.97	370.33	369.25	366.91	364.6	365.09	366.63	367.96	368.29
2000	369.08	369.4	370.45	371.59	371.75	371.62	370.04	368.04	366.54	366.63	368.2	369.43	369.4
2001	370.17	371.39	372	372.75	373.88	373.17	371.48	369.42	367.83	367.96	369.55	371.1	370.89
2002	372.29	372.94	373.38	374.71	375.4	375.26	373.87	371.35	370.57	370.1	371.93	373.63	372.95

