DATE	%usr	%sys	%wio	%idle	%peak	%aver
1-Dec-11	14	4	0	83	46	18
2-Dec-11	11	3	0	86	33	14
3-Dec-11	15	4	0	82	53	19
4-Dec-11	12	3	0	84	55	15
5-Dec-11	14	4	0	82	52	18
6-Dec-11	13	4	0	83	47	17
7-Dec-11	13	3	0	84	52	16
8-Dec-11	14	4	0	83	42	38
9-Dec-11	10	3	0	88	41	13
10-Dec-11	14	4	0	82	46	18
11-Dec-11	24	2	0	82	36	28
12-Dec-11	34	14	0	82	16	8
13-Dec-11	44	44	0	82	26	18
14-Dec-11	14	14	0	82	36	28
15-Dec-11	24	40	0	82	46	38
16-Dec-11	44	24	0	82	56	38
17-Dec-11	11	34	0	82	86	38
18-Dec-11	14	84	0	82	56	38
19-Dec-11	16	43	0	82	96	38
20-Dec-11	14	48	0	82	23	18
21-Dec-11	24	2	0	82	10	8
22-Dec-11	34	14	0	82	24	18
23-Dec-11	44	44	0	82	44	38
24-Dec-11	14	14	0	82	23	18
25-Dec-11	24	40	0	82	50	18
26-Dec-11	44	24	0	82	12	8
27-Dec-11	11	34	0	82	11	8
28-Dec-11	14	84	0	82	47	38
29-Dec-11	16	43	0	82	29	18
30-Dec-11	14	48	0	82	77	68
31-Dec-11	64	20	0	82	25	18
