time	%user	%sys	%wio	%idle	%peak	%aver
0:05	14.871	4.29032	0	80.8065	37	19.1935
0:10	10.8387	3.29032	0	85.871	36	14.129
0:15	10.6774	3.32258	0	85.7742	35	14.2258
0:20	12.9032	4.03226	0	83	39	17
0:25	10.9677	3.22581	0	85.7419	40	14.2581
0:30	11.8065	3.45161	0	84.6774	41	15.3226
0:35	12.2903	3.74194	0	83.8065	42	16.1935
0:40	11.0968	3.32258	0	85.5484	37	14.4516
0:45	10.9677	3.25806	0	85.7419	36	14.2581
0:50	14.2333	4.16667	0	81.6333	38	18.3667
0:55	11.4667	3.5	0	84.9	36	15.1
1:00	10.5806	3.32258	0	82.6452	100	17.3548
1:05	11.4839	3.87097	0	84.6452	37	15.3548
1:10	8.93548	3.58065	0	87.4839	38	12.5161
1:15	8.48387	3.16129	0	88.4516	41	11.5484
1:20	7.12903	2.58065	0	90.3226	27	9.67742
1:25	7.25806	2.35484	0	90.3871	26	9.6129
1:30	7.51613	2.54839	0	89.9032	48	10.0968
1:35	6.90323	2.25806	0	90.871	34	9.12903
1:40	6.45161	2.22581	0	91.4194	38	8.58065
1:45	6.16129	2.12903	0	91.4516	28	8.54839
1:50	5.96774	2.25806	0	91.6452	42	8.35484
1:55	7.64516	2.35484	0	89.871	33	10.129
2:00	6.64516	2.06452	0	91.2903	26	8.70968
2:05	9.19355	2.48387	0	88.3226	32	11.6774
2:10	9.22581	2.35484	0	88.4194	23	11.5806
2:15	8.80645	2.3871	0	88.8065	38	11.1935
2:20	9.45161	2.64516	0	88	39	12
2:25	8.6129	2.41935	0	89.0323	29	10.9677
2:30	8.83871	2.74194	0	88.3871	33	11.6129
2:35	8.64516	2.70968	0	88.6129	23	11.3871
2:40	8.29032	2.48387	0	89.129	26	10.871
2:45	7.6129	2.03226	0	90.2903	23	9.70968
2:50	8	2.12903	0	90.0323	23	9.96774
2:55	7.70968	2.12903	0	90.2581	25	9.74194
3:00	7.51613	1.83871	0	90.6774	20	9.32258
3:05	7.74194	2.25806	0	89.9032	24	10.0968
3:10	8.19355	2.35484	0	89.5806	26	10.4194
3:15	8.74194	2.51613	0	88.8387	27	11.1613
3:20	8.70968	2.51613	0	88.871	21	11.129
3:25	9.48387	2.51613	0	88.1613	23	11.8387
3:30	8.70968	2.29032	0	89.129	24	10.871
3:35	7.54839	1.93548	0	90.4194	27	9.58065
3:40	6.06452	1.64516	0	92.3871	25	7.6129
3:45	4.48387	1.3871	0	94	27	6
3:50	4.93548	1.58065	0	93.3871	32	6.6129
3:55	4.3871	1.58065	0	93.8065	32	6.19355
4:00	4.19355	1.3871	0	94.3871	33	5.6129
4:05	3.83871	1.35484	0	94.7419	32	5.25806
4:10	3.48387	1.3871	0	95.0323	24	4.96774
4:15	3.87097	1.3871	0	94.5484	24	5.45161
4:20	4.6129	1.67742	0	93.9355	23	6.06452
4:25	4.12903	1.70968	0	94.3226	21	5.67742
4:30	3.90323	1.64516	0	94.5161	22	5.48387
4:35	3.16129	1.19355	0	95.4839	16	4.51613
4:40	2.93548	0.935484	0	96.0323	22	3.96774
4:45	3.29032	1	0	95.6129	44	4.3871
4:50	2.64516	0.870968	0	96.3548	25	3.64516
4:55	2.25806	0.967742	0	96.5484	15	3.45161
5:00	13.5478	3.75768	0	82.7116	47	17.2884
5:05	8.29032	2.12903	0	89.7742	21	10.2258
5:10	7.67742	2.19355	0	90.2581	21	9.74194
5:15	7.54839	2.09677	0	90.5161	21	9.48387
5:20	7.32258	2.09677	0	90.7742	21	9.22581
5:25	6.58065	1.74194	0	91.7419	22	8.25806
5:30	6.54839	1.77419	0	91.6774	22	8.32258
5:35	7.22581	2.03226	0	90.8065	25	9.19355
5:40	6.29032	1.70968	0	92.0968	23	7.90323
5:45	6.41935	1.93548	0	91.8065	27	8.19355
5:50	8.3871	2.25806	0	89.4839	14	10.5161
5:55	8.90323	2.32258	0	88.871	15	11.129
6:00	8.83871	2.3871	0	88.9677	17	11.0323
6:05	12.2258	3.16129	0	84.4839	22	15.5161
6:10	15.3226	3.87097	0	80.9677	31	19.0323
6:15	13.6452	3.70968	0	82.7097	32	17.2903
6:20	15.1935	3.74194	0	81	32	19
6:25	16.6129	4.19355	0	79.2258	33	20.7742
6:30	14.4194	3.70968	0	81.7419	35	18.2581
6:35	10.9677	3	0	85.9677	32	14.0323
6:40	9.74194	2.70968	0	87.5161	29	12.4839
6:45	10.1935	2.70968	0	87.0323	27	12.9677
6:50	9.83871	2.67742	0	87.4839	32	12.5161
6:55	9.90323	2.58065	0	87.5161	28	12.4839
7:00	9.6129	2.54839	0	87.8387	25	12.1613
7:05	18.4516	4.90323	0	76.6774	37	23.3226
7:10	19.3871	4.93548	0	75.6129	44	24.3871
7:15	20	5.16129	0	74.8387	40	25.1613
7:20	19.7742	5	0	75.2258	39	24.7742
7:25	20.8065	5.35484	0	73.8065	45	26.1935
7:30	20.3871	5.48387	0	74.1935	42	25.8065
7:35	20.129	5.77419	0	73.9355	43	26.0645
7:40	20.9032	5.70968	0	73.4516	55	26.5484
7:45	20.0323	5.32258	0	74.5806	41	25.4194
7:50	19.3548	5.22581	0	75.4194	48	24.5806
7:55	19.8065	5.22581	0	75.0323	55	24.9677
8:00	18.3548	5.32258	0	76.3548	57	23.6452
8:05	18.7742	5.19355	0	76.0645	39	23.9355
8:10	17.9355	4.70968	0	77.2903	41	22.7097
8:15	17.3548	4.67742	0	77.8387	36	22.1613
8:20	17.4516	4.93548	0	77.5161	39	22.4839
8:25	17.4194	4.58065	0	78.129	37	21.871
8:30	17.7742	4.51613	0	77.5806	37	22.4194
8:35	17.7742	4.93548	0	77.2903	44	22.7097
8:40	17.0968	4.64516	0	78.4516	39	21.5484
8:45	14.7419	3.96774	0	81.3226	40	18.6774
8:50	14.7419	4.19355	0	81.1613	46	18.8387
8:55	13.8065	3.74194	0	82.6774	39	17.3226
9:00	12.8065	3.41935	0	83.871	46	16.129
9:05	15.3226	4.03226	0	80.6129	35	19.3871
9:10	15.3548	4.03226	0	80.6129	35	19.3871
9:15	15.4516	4.12903	0	80.3548	37	19.6452
9:20	16.5161	4.41935	0	79.0645	35	20.9355
9:25	16.9355	4.48387	0	78.6129	39	21.3871
9:30	16.9677	4.45161	0	78.5484	39	21.4516
9:35	18.129	4.80645	0	76.9677	37	23.0323
9:40	19.4516	5.03226	0	75.7097	41	24.2903
9:45	20.6452	5.22581	0	74.0968	47	25.9032
9:50	20.2903	5.35484	0	74.2903	48	25.7097
9:55	21.0323	5.25806	0	73.7419	47	26.2581
10:00	14.0592	3.84095	0	82.1151	47	17.8849
10:05	22.1613	5.32258	0	72.4516	47	27.5484
10:10	24.0968	5.83871	0	70.1613	52	29.8387
10:15	25.5484	6.09677	0	68.2903	52	31.7097
10:20	24.129	5.93548	0	70.0645	50	29.9355
10:25	22.2903	5.70968	0	71.871	46	28.129
10:30	21.7742	5.58065	0	72.7419	53	27.2581
10:35	22.6774	6	0	71.4516	48	28.5484
10:40	22.2581	5.67742	0	71.9032	47	28.0968
10:45	22.2903	5.54839	0	72.2581	51	27.7419
10:50	21.4194	5.54839	0	73.0323	52	26.9677
10:55	21	5.48387	0	73.5806	53	26.4194
11:00	18.6452	4.93548	0	76.3226	42	23.6774
11:05	19.8065	5.22581	0	74.871	52	25.129
