1Jan 2Jan 3Jan 4Jan 5Jan 6Jan 7Jan 8Jan 9Jan 10Jan 11Jan 12Jan 13Jan 14Jan 15Jan 16Jan 17Jan 18Jan 19Jan 20Jan 21Jan 22Jan 23Jan 24Jan 25Jan 26Jan 27Jan 28Jan 29Jan 30Jan 31Jan 
6 7 9 5 9 6 11 6 7 13 6 15 7 9 7 7 9 7 9 6 13 4 5 9 7 14 16 9 4 5 11 
8 6 12 6 11 6 11 8 5 13 5 13 6 11 8 6 11 5 11 5 14 6 5 10 6 13 14 10 6 5 14 
9 9 16 10 14 9 15 10 9 19 10 15 12 16 9 8 15 11 14 10 16 7 9 15 10 15 17 14 7 9 17 
18 11 17 11 17 11 16 18 11 17 11 15 11 17 19 10 16 11 16 11 15 16 11 16 11 15 19 16 14 10 21 
16 11 20 10 19 10 17 13 10 16 10 16 10 17 18 12 20 10 20 11 18 16 11 18 11 18 18 19 15 11 22 
19 9 19 13 18 9 17 13 8 16 12 18 12 19 19 10 18 12 18 12 15 17 11 16 12 15 16 16 17 8 14 
21 4 13 6 17 5 11 17 5 13 6 14 6 15 22 8 15 7 17 7 15 16 7 17 8 16 14 14 18 5 13 
11 5 11 6 11 6 11 8 4 12 9 13 9 16 14 8 14 8 14 8 13 13 7 15 9 11 14 12 13 5 12 
9 3 3 2 10 3 8 9 2 4 5 5 6 11 12 5 7 6 15 5 11 14 5 12 6 13 10 9 13 2 11 
5 2 3 2 9 2 8 7 2 2 3 5 5 8 7 5 6 4 11 4 11 8 4 8 4 10 10 9 5 2 10 
8 1 1 1 5 1 6 7 1 1 3 3 4 4 6 1 3 4 3 3 4 9 3 4 4 11 9 6 6 1 3 
4 1 1 1 1 1 3 4 1 1 3 4 3 4 3 1 1 2 3 3 4 7 3 4 4 9 9 1 3 1 1 
1 1 1 1 2 1 1 2 1 1 3 4 3 4 2 1 1 1 3 4 4 5 3 5 4 4 9 2 3 1 1 
1 1 1 1 1 1 1 1 1 1 4 4 1 4 1 1 1 1 4 3 4 4 4 4 4 4 9 1 2 1 1 
1 1 1 1 1 1 1 1 1 1 4 4 1 2 1 1 2 1 2 4 4 3 4 2 2 2 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 2 4 3 3 1 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 1 1 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 
1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 
