time	1-Dec-11	2-Dec-11	3-Dec-11	4-Dec-11	5-Dec-11	6-Dec-11	7-Dec-11	8-Dec-11	9-Dec-11	10-Dec-11	11-Dec-11	12-Dec-11	13-Dec-11	14-Dec-11	15-Dec-11	16-Dec-11	17-Dec-11	18-Dec-11	19-Dec-11	20-Dec-11	21-Dec-11	22-Dec-11	23-Dec-11	24-Dec-11	25-Dec-11	26-Dec-11	27-Dec-11	28-Dec-11	29-Dec-11	30-Dec-11	31-Dec-11
0:05	16	23	25	10	10	27	4	21	5	16	12	24	16	18	25	18	33	4	11	20	37	20	26	21	14	31	19	22	19	22	26
0:10	12	2	12	6	7	17	2	20	1	14	13	19	10	14	15	16	36	1	8	20	15	22	24	19	12	27	17	19	10	8	20
0:15	11	2	12	7	6	20	7	21	5	19	18	15	13	17	1	17	35	1	9	5	14	24	24	19	13	28	15	19	15	8	21
0:20	13	6	22	10	11	10	10	20	12	19	7	24	20	16	4	20	38	4	11	5	19	25	39	23	18	32	17	20	20	10	22
0:25	5	6	18	7	6	14	7	12	10	18	6	28	13	13	1	16	33	1	9	2	17	24	40	20	13	24	13	13	21	9	23
0:30	2	8	19	7	7	3	7	16	14	26	7	34	14	17	1	15	22	1	8	2	17	30	38	18	26	22	19	18	13	3	41
0:35	2	8	21	7	7	1	7	7	18	28	7	29	14	21	1	17	23	1	11	2	20	37	39	17	31	20	21	27	12	4	42
0:40	5	12	27	6	5	1	7	13	17	28	6	3	2	19	3	14	20	1	27	3	14	37	30	19	30	23	14	13	10	8	31
0:45	21	14	28	5	7	1	6	14	14	27	7	6	3	15	7	13	19	1	24	1	7	36	26	14	31	27	12	13	11	9	23
0:50	21	14	31	8	7	8	11	33	12	34	17	15	8	22	10	8	24	0	31	6	15	33	27	22	38	22	13	15	16	3	27
0:55	18	16	28	6	6	1	3	23	8	36	14	1	1	13	7	23	18	0	14	1	16	16	27	23	35	27	3	17	9	16	27
1:00	14	8	40	10	10	4	4	6	7	30	10	11	2	7	7	24	15	100	5	0	25	14	28	17	37	24	6	12	15	12	34
1:05	13	9	37	2	14	8	13	13	8	29	13	7	6	25	7	25	15	0	8	2	27	11	22	25	34	15	10	12	20	10	36
1:10	14	2	31	8	15	7	3	33	8	11	5	3	2	20	8	6	21	1	4	1	7	11	17	16	38	14	3	24	8	9	38
1:15	11	2	41	14	10	7	16	9	8	5	6	11	2	18	7	6	29	0	1	3	8	17	16	16	28	4	5	5	16	7	30
1:20	13	2	27	7	2	7	17	13	4	9	11	3	1	2	6	12	25	0	1	6	8	20	15	14	25	6	7	2	7	5	23
1:25	11	2	23	11	6	7	13	12	1	13	1	6	1	1	9	15	25	1	1	7	9	20	15	13	26	2	13	0	12	7	15
1:30	10	3	8	7	3	13	13	13	2	12	12	10	1	1	3	16	26	1	5	8	10	18	16	15	48	1	7	1	12	7	11
1:35	8	6	3	6	2	11	12	9	2	8	15	6	1	1	7	15	25	6	1	7	10	23	16	14	34	7	12	1	5	6	4
1:40	10	8	12	7	1	13	7	1	1	1	11	6	5	1	14	7	26	1	1	7	9	20	20	12	38	3	11	2	5	1	5
1:45	13	11	7	9	2	12	2	5	1	2	4	6	1	2	14	7	28	0	1	7	10	24	20	13	27	8	12	7	6	1	3
1:50	1	8	5	6	5	9	1	2	4	6	7	7	1	1	14	2	16	0	1	7	9	42	24	15	20	15	8	7	8	1	7
1:55	5	9	10	6	10	18	4	6	9	12	10	3	1	5	18	6	11	1	4	10	14	33	24	17	24	8	1	9	8	5	13
2:00	6	10	10	6	11	6	2	7	7	4	20	1	1	2	10	12	11	1	4	6	9	23	26	16	23	12	3	4	1	1	15
2:05	14	17	10	15	9	19	8	14	10	11	17	1	2	8	17	2	11	1	11	11	15	23	18	14	32	12	1	8	8	9	14
2:10	13	15	15	12	10	17	9	15	11	10	9	1	1	9	14	4	15	1	10	13	20	23	23	15	20	7	1	9	8	9	20
2:15	14	10	10	10	9	14	8	14	11	9	9	2	2	9	16	4	13	0	10	17	18	17	17	38	27	0	0	8	9	10	12
2:20	14	9	11	11	10	18	10	16	11	11	10	2	2	10	16	5	12	1	11	10	22	11	18	39	28	2	2	11	14	10	15
2:25	12	9	15	9	10	10	8	13	12	9	10	2	1	8	15	2	22	1	8	9	20	12	16	29	22	5	2	12	15	9	13
2:30	12	18	15	9	9	9	8	15	10	9	9	2	2	8	14	2	21	0	21	12	25	12	15	33	14	4	1	18	12	9	12
2:35	12	22	14	9	9	9	9	15	9	10	10	5	1	9	11	9	20	1	19	17	18	9	17	23	14	11	2	11	9	10	9
