time	%usr	%sys	%wio	%idle	%peak	%aver
00:05	0.00	0.00	0.00	100.00	0.00	0.00
00:10	0.00	0.00	0.00	100.00	0.00	0.00
00:15	0.00	0.00	0.00	100.00	0.00	0.00
00:20	0.00	0.00	0.00	100.00	0.00	0.00
00:25	0.00	0.00	0.00	100.00	0.00	0.00
00:30	0.00	0.00	0.00	100.00	0.00	0.00
00:35	0.00	0.00	0.00	100.00	0.00	0.00
00:40	0.00	0.00	0.00	100.00	0.00	0.00
00:45	0.00	0.00	0.00	100.00	0.00	0.00
00:50	0.00	0.00	0.00	100.00	0.00	0.00
00:55	0.00	0.00	0.00	100.00	0.00	0.00
01:00	0.00	0.00	0.00	100.00	0.00	0.00
01:05	0.00	0.00	0.00	100.00	0.00	0.00
01:10	0.00	0.00	0.00	100.00	0.00	0.00
01:15	0.00	0.00	0.00	100.00	0.00	0.00
01:20	0.00	0.00	0.00	100.00	0.00	0.00
01:25	0.00	0.00	0.00	100.00	0.00	0.00
01:30	0.00	0.00	0.00	100.00	0.00	0.00
01:35	0.00	0.00	0.00	100.00	0.00	0.00
01:40	0.00	0.00	0.00	100.00	0.00	0.00
01:45	0.00	0.00	0.00	100.00	0.00	0.00
01:50	0.00	0.00	0.00	100.00	0.00	0.00
01:55	0.00	0.00	0.00	100.00	0.00	0.00
02:00	0.00	0.00	0.00	100.00	0.00	0.00
02:05	0.00	0.03	0.00	99.84	1.00	0.16
02:10	0.00	0.00	0.00	100.00	0.00	0.00
02:15	0.00	0.00	0.00	100.00	0.00	0.00
02:20	0.00	0.00	0.00	100.00	0.00	0.00
02:25	0.00	0.00	0.00	100.00	0.00	0.00
02:30	0.00	0.00	0.00	100.00	0.00	0.00
02:35	0.00	0.00	0.00	100.00	0.00	0.00
02:40	0.00	0.00	0.00	100.00	0.00	0.00
02:45	0.00	0.00	0.00	100.00	0.00	0.00
02:50	0.00	0.00	0.00	100.00	0.00	0.00
02:55	0.00	0.00	0.00	100.00	0.00	0.00
